I am hungry | Éhes vagyok
it will keep delivering | továbbra is teljesíteni fog
it will keep performing | továbbra is teljesíteni fog
it will keep exceeding expectations | továbbra is meghaladja az elvárásokat
it will keep setting new standards | továbbra is új szabványokat állít fel
this is a lifelong journey | ez egy egész életen át tartó utazás
this is a marathon not a sprint | ez egy maraton, nem sprint
this is about persistence | ez a kitartásról szól
this is about dedication | ez az elkötelezettségről szól
this is about consistency | ez a következetességről szól
this is about showing up every day | ez a mindennapi megjelenésről szól
this is about doing the work | ez a munka elvégzéséről szól
this is about trusting the process | ez a folyamatba vetett bizalomról szól
this is about believing in yourself | ez a magadba vetett hitről szól
this is about never giving up | ez a soha fel nem adásról szól
that is the secret to success | ez a siker titka
that is what separates the best | ez különbözteti meg a legjobbakat
that is what makes the difference | ez hozza a változást
that is what builds character | ez építi a jellemet
that is what forges strength | ez kovácsolja az erőt
that is what creates resilience | ez teremti meg a kitartást
that is what leads to mastery | ez vezet a mesterségbeli tudáshoz
that is what brings fulfillment | ez hozza el a kiteljesedést
that is what makes it worthwhile | ez teszi érdemesessé
that is what it takes | ehhez kell
there is always another step | mindig van egy újabb lépés
there is always another lesson | mindig van egy újabb lecke
there is always another opportunity | mindig van egy újabb lehetőség
there is always another chance | mindig van egy újabb esély
there is always another way | mindig van másik út
there is always room to grow | mindig van hová fejlődni
there is always something new to learn | mindig van valami új tanulnivaló
there is always something to discover | mindig van valami felfedeznivaló
there is always something to improve | mindig van mit javítani
there is always hope | mindig van remény
I am exactly where I need to be | pontosan ott vagyok, ahol lennem kell
I am on the right path | a jó úton járok
I am doing what I love | azt csinálom, amit szeretek
I am becoming who I want to be | azzá válok, aki lenni akarok
I am grateful for this moment | hálás vagyok ezért a pillanatért
I am thankful for this journey | hálás vagyok ezért az utazásért
I am ready for what comes next | készen állok arra, ami következik
I am open to new possibilities | nyitott vagyok az új lehetőségekre
I am excited for the future | izgatott vagyok a jövő miatt
I am at peace with myself | békében vagyok önmagammal
you are exactly where you need to be | pontosan ott vagy, ahol lenned kell
you are on your own path | a saját utadon jársz
you are doing amazing things | elképesztő dolgokat csinálsz
you are becoming stronger every day | minden nap erősebb leszel
you are growing in ways you cannot see | olyan módon fejlődsz, amit nem is látsz
you are capable of great things | nagyszerű dolgokra vagy képes
you are enough | elég vagy
you are worthy | méltó vagy
you matter | számítasz
he is on his journey | a maga útját járja
he is finding his way | megtalálja az útját
he is discovering himself | felfedezi önmagát
he is becoming his best self | a legjobb önmagává válik
he is learning and growing | tanul és fejlődik
he is making progress every day | minden nap halad
he is building his future | építi a jövőjét
he is creating his legacy | alkotja az örökségét
he is living his truth | az igazságát éli
he is making a difference | változást hoz
she is on her own journey | a saját útját járja
she is following her heart | a szívét követi
she is trusting the process | bízik a folyamatban
she is embracing the unknown | magáévá teszi az ismeretlent
she is finding her voice | megtalálja a hangját
she is claiming her power | megszerzi az erejét
she is stepping into her greatness | belép a nagyságába
she is becoming unstoppable | megállíthatatlanná válik
she is shining her light | ragyogtatja a fényét
she is inspiring everyone around her | inspirál mindenkit maga körül
we are on this journey together | ezen az úton együtt vagyunk
we are building something meaningful | valami értelmeset építünk
we are creating something beautiful | valami szépet alkotunk
we are making a difference together | együtt hozunk változást
we are growing as a community | közösségként fejlődünk
we are stronger together | együtt erősebbek vagyunk
we are better together | együtt jobbak vagyunk
we are one | egyek vagyunk
they are on their own paths | a saját útjaikat járják
they are finding their way | találják az útjukat
they are discovering their potential | felfedezik a lehetőségeiket
they are becoming who they are meant to be | azzá válnak, akiknek lenniük kell
they are lifting each other up | felemelik egymást
they are supporting one another | támogatják egymást
they are building each other up | építik egymást
they are creating community | közösséget teremtenek
they are changing the world together | együtt változtatják a világot
they are an inspiration to us all | mindannyiunk számára inspirációt jelentenek
it is unfolding as it should | úgy alakul, ahogy kell
it is happening at the right time | a megfelelő időben történik
it is all part of the plan | minden része a tervnek
it is all connected | minden összefügg
it is all meaningful | mindennek van értelme
it is all worth it | minden megéri
it is a beautiful journey | ez egy gyönyörű utazás
it is a gift to be here | ajándék itt lenni
it is a privilege to be alive | kiváltság élni
it is a blessing | ez egy áldás
I wake up early | korán kelek
I wake up at six | hatkor kelek
I wake up without an alarm | ébresztőóra nélkül kelek
I wake up feeling refreshed | felfrissülve kelek
I wake up with a smile | mosollyal kelek
I wake up grateful | hálásan kelek
I wake up ready for the day | készen kelek a napra
I wake up to a new day | egy új napra kelek
I wake up and start my day | felkelek és elkezdem a napom
I wake up and feel alive | felkelek és érzem, hogy élek
you wake up early | korán kelsz
you wake up tired | fáradtan kelsz
you wake up happy | boldogan kelsz
you wake up with energy | energiával kelsz
you wake up to a beautiful view | gyönyörű kilátásra ébredsz
you wake up and smell the coffee | felkelsz és érzed a kávé illatát
you wake up to a new opportunity | egy új lehetőségre ébredsz
you wake up and make it a great day | felkelsz és nagyszerűvé teszed a napot
you wake up with purpose | céltudatosan ébredsz
you wake up and shine | felkelsz és ragyogsz
he wakes up early | korán kel
he wakes up at dawn | hajnalban kel
he wakes up before sunrise | napkelte előtt kel
he wakes up to exercise | edzésre kel
he wakes up to meditate | meditációra kel
he wakes up to work | munkára kel
he wakes up feeling strong | erősnek érzi magát ébredéskor
he wakes up with a plan | tervvel ébred
he wakes up and gets things done | felkel és elvégzi a dolgokat
he wakes up and conquers the day | felkel és meghódítja a napot
she wakes up gently | szelíden ébred
she wakes up slowly | lassan ébred
she wakes up to birds singing | madárdalra ébred
she wakes up to sunlight | napsütésre ébred
she wakes up with a clear mind | tiszta fejjel ébred
she wakes up with gratitude | hálával ébred
she wakes up and sets her intentions | felkel és kitűzi a céljait
she wakes up and takes a deep breath | felkel és vesz egy mély lélegzetet
she wakes up and embraces the day | felkel és átöleli a napot
she wakes up ready to shine | felkel és készen áll ragyogni
we wake up together | együtt ébredünk
we wake up at the same time | egyszerre ébredünk
we wake up to a new day | egy új napra ébredünk
we wake up with hope | reménnyel ébredünk
we wake up with dreams | álmokkal ébredünk
we wake up and share breakfast | felkelünk és megreggelizünk együtt
we wake up and plan our day | felkelünk és megtervezzük a napunkat
we wake up and appreciate each other | felkelünk és értékeljük egymást
we wake up and choose happiness | felkelünk és a boldogságot választjuk
we wake up and make the most of it | felkelünk és kihozzuk belőle a legtöbbet
they wake up early | korán kelnek
they wake up with the sun | a nappal kelnek
they wake up in nature | a természetben ébrednek
they wake up in the city | a városban ébrednek
they wake up to a new adventure | egy új kalandra ébrednek
they wake up to new possibilities | új lehetőségekre ébrednek
they wake up and go exploring | felkelnek és felfedezni indulnak
they wake up and start their journey | felkelnek és elindulnak az útjukon
they wake up and live fully | felkelnek és teljes mértékben élnek
they wake up and enjoy every moment | felkelnek és élveznek minden pillanatot
it wakes up automatically | automatikusan felébred
it wakes up when needed | amikor szükséges, felébred
it wakes up from sleep mode | alvó módból ébred
it wakes up with a touch | egy érintésre ébred
it wakes up to sound | hangra ébred
it wakes up to motion | mozgásra ébred
it wakes up and connects | felébred és csatlakozik
it wakes up and updates | felébred és frissít
it wakes up and runs diagnostics | felébred és diagnosztikát futtat
it wakes up ready to serve | készen ébred a szolgálatra
this is how I start my day | így kezdem a napomat
this is my morning routine | ez a reggeli rutinom
this is what gives me energy | ez ad nekem energiát
this is what sets the tone | ez adja meg az alaphangot
this is my favorite time of day | ez a kedvenc napszakom
this is when I feel most alive | ilyenkor érzem magam a leginkább élőnek
this is when I think clearly | ilyenkor gondolkodom tisztán
this is when I plan my day | ilyenkor tervezem meg a napomat
this is when I feel grateful | ilyenkor érzek hálát
that is a great way to start | az egy nagyszerű módja a kezdésnek
that is what I need | arra van szükségem
that is how I find balance | így találom meg az egyensúlyt
that is how I stay grounded | így maradok földön
that is how I stay focused | így maradok összpontosítva
that is how I stay motivated | így maradok motivált
that is how I stay positive | így maradok pozitív
that is how I stay grateful | így maradok hálás
that is how I stay true to myself | így maradok önmagamhoz hű
that is how I live my best life | így élem a legjobb életem
there is magic in the morning | varázslat van a reggelben
there is peace in the morning | béke van a reggelben
there is quiet in the morning | csend van a reggelben
there is possibility in the morning | lehetőség van a reggelben
there is hope in the morning | remény van a reggelben
there is a fresh start every morning | minden reggel egy új kezdet
there is a new beginning every day | minden nap egy új kezdet
there is something special about mornings | valami különleges van a reggelekben
there is beauty in the morning light | szépség van a reggeli fényben
there is opportunity in every sunrise | minden napkelte egy lehetőség
I take time for myself | időt szánok magamra
I take time to breathe | időt szánok a légzésre
I take time to reflect | időt szánok a gondolkodásra
I take time to appreciate | időt szánok az értékelésre
I take time to rest | időt szánok a pihenésre
I take time to recharge | időt szánok a feltöltődésre
I take time to connect | időt szánok a kapcsolódásra
I take time to create | időt szánok az alkotásra
I take time to enjoy | időt szánok az élvezetre
I take time for what matters | időt szánok arra, ami számít
you take time for yourself | időt szánsz magadra
you take time to rest | időt szánsz a pihenésre
you take time to recharge | időt szánsz a feltöltődésre
you take time to think | időt szánsz a gondolkodásra
you take time to plan | időt szánsz a tervezésre
you take time to dream | időt szánsz az álmodozásra
you take time to laugh | időt szánsz a nevetésre
you take time to enjoy life | időt szánsz az élet élvezetére
you take time for what you love | időt szánsz arra, amit szeretsz
you take time to be still | időt szánsz a csendre
he takes time for his family | időt szán a családjára
he takes time for his health | időt szán az egészségére
he takes time to exercise | időt szán a testmozgásra
he takes time to learn | időt szán a tanulásra
he takes time to grow | időt szán a fejlődésre
he takes time to relax | időt szán a kikapcsolódásra
he takes time to read | időt szán az olvasásra
he takes time to think | időt szán a gondolkodásra
he takes time to plan his future | időt szán a jövője tervezésére
he takes time to appreciate life | időt szán az élet értékelésére
she takes time for herself | időt szán magára
she takes time for her passions | időt szán a szenvedélyeire
she takes time to meditate | időt szán a meditációra
she takes time to write | időt szán az írásra
she takes time to create | időt szán az alkotásra
she takes time to nurture herself | időt szán a saját gondozására
she takes time to listen to her heart | időt szán arra, hogy hallgasson a szívére
she takes time to follow her dreams | időt szán arra, hogy kövesse az álmait
she takes time to celebrate herself | időt szán arra, hogy megünnepelje önmagát
she takes time to love herself | időt szán arra, hogy szeresse önmagát
we take time for each other | időt szánunk egymásra
we take time to connect | időt szánunk a kapcsolódásra
we take time to talk | időt szánunk a beszélgetésre
we take time to listen | időt szánunk a hallgatásra
we take time to share | időt szánunk a megosztásra
we take time to laugh together | időt szánunk a közös nevetésre
we take time to celebrate together | időt szánunk a közös ünneplésre
we take time to grow together | időt szánunk a közös fejlődésre
we take time to build memories | időt szánunk az emlékek építésére
we take time for what matters most | időt szánunk arra, ami a legfontosabb
they take time for community | időt szánnak a közösségre
they take time to volunteer | időt szánnak az önkéntes munkára
they take time to help others | időt szánnak mások segítésére
they take time to mentor | időt szánnak a mentorálásra
they take time to share wisdom | időt szánnak a bölcsesség megosztására
they take time to give back | időt szánnak a visszaadásra
they take time to build relationships | időt szánnak a kapcsolatok építésére
they take time to support one another | időt szánnak egymás támogatására
they take time to care | időt szánnak a gondoskodásra
they take time to make a difference | időt szánnak a változásra
it takes time to develop | idő kell a fejlődéshez
it takes time to master | idő kell a mesterségbeli tudáshoz
it takes time to grow | idő kell a növekedéshez
it takes time to heal | idő kell a gyógyuláshoz
it takes time to build | idő kell az építéshez
it takes time to create | idő kell az alkotáshoz
it takes time to learn | idő kell a tanuláshoz
it takes time to understand | idő kell a megértéshez
it takes time to appreciate | idő kell az értékeléshez
it takes time to become | idő kell ahhoz, hogy azzá válj
I believe in my dreams | hiszek az álmaimban
I believe in kindness | hiszek a kedvességben
I believe in second chances | hiszek a második esélyekben
I believe in the power of hope | hiszek a remény erejében
I believe in the goodness of people | hiszek az emberek jóságában
I believe in making a difference | hiszek abban, hogy változást hozhatok
I believe in never giving up | hiszek abban, hogy soha nem szabad feladni
I believe in you | hiszek benned
you believe in your abilities | hiszel a képességeidben
you believe in something greater | hiszel valami nagyobban
you believe in second chances | hiszel a második esélyekben
you believe in people | hiszel az emberekben
you believe in kindness | hiszel a kedvességben
you believe in the journey | hiszel az utazásban
you believe in what you do | hiszel abban, amit csinálsz
he believes in his team | hisz a csapatában
he believes in his mission | hisz a küldetésében
he believes in honesty | hisz az őszinteségben
he believes in justice | hisz az igazságosságban
he believes in progress | hisz a fejlődésben
he believes in the future | hisz a jövőben
he believes in his vision | hisz a látomásában
he believes in what he does | hisz abban, amit csinál
she believes in love | hisz a szeretetben
she believes in compassion | hisz az együttérzésben
she believes in equality | hisz az egyenlőségben
she believes in empowerment | hisz a felhatalmazásban
she believes in her students | hisz a diákjaiban
she believes in her children | hisz a gyerekeiben
she believes in her purpose | hisz a küldetésében
she believes in her strength | hisz az erejében
she believes in her voice | hisz a hangjában
she believes in her worth | hisz az értékében
we believe in our dreams | hiszünk az álmainkban
we believe in our future | hiszünk a jövőnkben
we believe in what we build | hiszünk abban, amit építünk
we believe in our community | hiszünk a közösségünkben
we believe in positive change | hiszünk a pozitív változásban
we believe in working together | hiszünk az együttműködésben
we believe in something bigger | hiszünk valami nagyobban
they believe in their cause | hisznek az ügyükben
they believe in their leaders | hisznek a vezetőikben
they believe in their people | hisznek az embereikben
they believe in their culture | hisznek a kultúrájukban
they believe in their traditions | hisznek a hagyományaikban
they believe in their youth | hisznek a fiataljaikban
they believe in innovation | hisznek az innovációban
they believe in education | hisznek az oktatásban
they believe in unity | hisznek az egységben
they believe in peace | hisznek a békében
it believes in consistency | hisz a következetességben
it believes in reliability | hisz a megbízhatóságban
it believes in quality | hisz a minőségben
it believes in durability | hisz a tartósságban
it believes in sustainability | hisz a fenntarthatóságban
it believes in innovation | hisz az innovációban
it believes in evolution | hisz a fejlődésben
it believes in improvement | hisz a javulásban
this is what I believe | ebben hiszek
this is my truth | ez az én igazságom
this is my conviction | ez az én meggyőződésem
this is what guides me | ez vezérel engem
this is what drives me | ez hajt engem
this is what keeps me going | ez tartja bennem a lelket
this is what I stand for | ezért állok ki
this is what I fight for | ezért küzdök
this is what I live for | ezért élek
this is my faith | ez a hitem
that is a powerful belief | az egy erőteljes meggyőződés
that is what we stand for | azért állunk ki
that is what matters most | az számít a legjobban
that is the foundation | az az alap
that is the core | az a lényeg
that is the principle | az az elv
that is the value | az az érték
that is what unites us | az egyesít minket
that is what makes us strong | az tesz minket erőssé
that is what we pass on | azt továbbadjuk
there is power in belief | erő van a hitben
there is strength in conviction | erő van a meggyőződésben
there is courage in faith | bátorság van a hitben
there is hope in believing | remény van a hitben
there is magic in trust | varázslat van a bizalomban
there is unity in shared values | egység van a közös értékekben
there is purpose in knowing what you stand for | cél van abban, ha tudod, miért állsz ki
there is clarity in conviction | tisztaság van a meggyőződésben
there is freedom in belief | szabadság van a hitben
there is light in faith | fény van a hitben
I trust the process | bízom a folyamatban
I trust my intuition | bízom a megérzéseimben
I trust my journey | bízom az utamban
I trust my decisions | bízom a döntéseimben
I trust my timing | bízom az időzítésemben
I trust the universe | bízom a világegyetemben
I trust that things work out | bízom benne, hogy minden rendeződik
I trust that I am guided | bízom benne, hogy vezetve vagyok
I trust that I am supported | bízom benne, hogy támogatva vagyok
I trust that I am enough | bízom benne, hogy elég vagyok
you trust yourself | bízol magadban
you trust your path | bízol az utadban
you trust your heart | bízol a szívedben
you trust your voice | bízol a hangodban
you trust your instincts | bízol az ösztöneidben
you trust the timing of your life | bízol az életed időzítésében
you trust that you are on the right path | bízol benne, hogy a jó úton jársz
you trust that you are enough | bízol benne, hogy elég vagy
you trust that you are loved | bízol benne, hogy szeretve vagy
you trust that everything happens for a reason | bízol benne, hogy minden okkal történik
he trusts his team | bízik a csapatában
he trusts his judgment | bízik az ítélőképességében
he trusts his experience | bízik a tapasztalatában
he trusts his instincts | bízik az ösztöneiben
he trusts the plan | bízik a tervben
he trusts the system | bízik a rendszerben
he trusts the people around him | bízik a körülötte lévő emberekben
he trusts that hard work pays off | bízik benne, hogy a kemény munka meghozza gyümölcsét
he trusts that he will succeed | bízik benne, hogy sikeres lesz
he trusts that he can make a difference | bízik benne, hogy változást hozhat
she trusts her intuition | bízik a megérzéseiben
she trusts her inner voice | bízik a belső hangjában
she trusts her creative process | bízik az alkotói folyamatában
she trusts her ability to adapt | bízik az alkalmazkodóképességében
she trusts that she is capable | bízik benne, hogy képes rá
she trusts that she is strong | bízik benne, hogy erős
she trusts that she will find her way | bízik benne, hogy megtalálja az útját
she trusts that she is exactly where she needs to be | bízik benne, hogy pontosan ott van, ahol lennie kell
she trusts that her dreams are possible | bízik benne, hogy az álmai lehetségesek
she trusts that love will guide her | bízik benne, hogy a szeretet vezeti
we trust each other | bízunk egymásban
we trust our partnership | bízunk a partnerségünkben
we trust our shared vision | bízunk a közös látomásunkban
we trust our collective strength | bízunk a közös erőnkben
we trust that we will succeed together | bízunk benne, hogy együtt sikeresek leszünk
we trust that we are on the right path | bízunk benne, hogy a jó úton járunk
we trust that we can overcome anything | bízunk benne, hogy bármit legyőzhetünk
we trust that we are stronger together | bízunk benne, hogy együtt erősebbek vagyunk
we trust that our work matters | bízunk benne, hogy a munkánk számít
we trust that we are making a difference | bízunk benne, hogy változást hozunk
they trust their leaders | bíznak a vezetőikben
they trust their institutions | bíznak az intézményeikben
they trust their community | bíznak a közösségükben
they trust their heritage | bíznak az örökségükben
they trust that their voices will be heard | bíznak benne, hogy a hangjukat meghallják
they trust that their children will have a better future | bíznak benne, hogy a gyerekeiknek jobb jövőjük lesz
they trust that their culture will endure | bíznak benne, hogy a kultúrájuk fennmarad
they trust that kindness will prevail | bíznak benne, hogy a kedvesség győzedelmeskedik
they trust that love will win | bíznak benne, hogy a szeretet győz
they trust that hope will never die | bíznak benne, hogy a remény soha nem hal meg
it trusts its algorithms | bízik az algoritmusaiban
it trusts its data | bízik az adataiban
it trusts its design | bízik a tervezésében
it trusts its engineering | bízik a mérnöki munkájában
it trusts its performance | bízik a teljesítményében
it trusts its reliability | bízik a megbízhatóságában
it trusts its security | bízik a biztonságában
it trusts its evolution | bízik a fejlődésében
it trusts its purpose | bízik a céljában
it trusts that it will serve well | bízik benne, hogy jól fog szolgálni
this is trust | ez a bizalom
this is what trust looks like | így néz ki a bizalom
this is built on trust | ez bizalomra épül
this requires trust | ehhez bizalom kell
this grows with trust | ez a bizalommal nő
this is the foundation of everything | ez mindennek az alapja
this is what makes it work | ez működteti
this is what holds it together | ez tartja össze
this is what gives it strength | ez adja neki az erőt
this is what makes it beautiful | ez teszi széppé
that is trust | az a bizalom
that is earned | azt ki kell érdemelni
that is given freely | azt szabadon adják
that is precious | az értékes
that is fragile | az törékeny
that is powerful | az erőteljes
that is sacred | az szent
that is what we build together | azt építjük együtt
that is what we protect | azt védjük
that is what lasts | az maradandó
there is trust between us | bizalom van köztünk
there is trust in this room | bizalom van ebben a teremben
there is trust in this community | bizalom van ebben a közösségben
there is trust that grows over time | bizalom van, ami idővel nő
there is trust that comes from experience | bizalom van, ami tapasztalatból fakad
there is trust that is unspoken | bizalom van, ami kimondatlan
there is trust that is unconditional | bizalom van, ami feltétel nélküli
there is trust that heals | bizalom van, ami gyógyít
there is trust that builds bridges | bizalom van, ami hidakat épít
there is trust that creates freedom | bizalom van, ami szabadságot teremt
I accept myself as I am | elfogadom magam olyannak, amilyen vagyok
I accept my imperfections | elfogadom a tökéletlenségeimet
I accept my strengths and weaknesses | elfogadom az erősségeimet és gyengeségeimet
I accept that I am still learning | elfogadom, hogy még mindig tanulok
I accept that I make mistakes | elfogadom, hogy hibázok
I accept that growth takes time | elfogadom, hogy a fejlődés időbe telik
I accept things I cannot change | elfogadom a dolgokat, amiket nem tudok megváltoztatni
I accept where I am right now | elfogadom, ahol most vagyok
I accept that I am enough | elfogadom, hogy elég vagyok
I accept the journey | elfogadom az utazást
you accept yourself | elfogadod magad
you accept your flaws | elfogadod a hibáidat
you accept your journey | elfogadod az utadat
you accept where you are | elfogadod, ahol vagy
you accept that you are growing | elfogadod, hogy fejlődsz
you accept that you are enough | elfogadod, hogy elég vagy
you accept that you are worthy | elfogadod, hogy méltó vagy
you accept that you are loved | elfogadod, hogy szeretve vagy
you accept that you belong | elfogadod, hogy tartozol valahová
you accept that you matter | elfogadod, hogy számítasz
he accepts responsibility | vállalja a felelősséget
he accepts the challenge | elfogadja a kihívást
he accepts the consequences | elfogadja a következményeket
he accepts the truth | elfogadja az igazságot
he accepts his mistakes | elfogadja a hibáit
he accepts his limitations | elfogadja a korlátait
he accepts what he cannot change | elfogadja, amit nem tud megváltoztatni
he accepts help when needed | elfogadja a segítséget, ha szükséges
he accepts feedback | elfogadja a visszajelzést
he accepts others as they are | elfogadja a többieket olyannak, amilyenek
she accepts herself fully | teljesen elfogadja önmagát
she accepts her emotions | elfogadja az érzelmeit
she accepts her past | elfogadja a múltját
she accepts her journey | elfogadja az útját
she accepts that she is still becoming | elfogadja, hogy még mindig alakul
she accepts that she is enough | elfogadja, hogy elég
she accepts that she is worthy | elfogadja, hogy méltó
she accepts that she is powerful | elfogadja, hogy erős
she accepts that she is loved | elfogadja, hogy szeretik
she accepts that she belongs | elfogadja, hogy tartozik valahová
we accept each other | elfogadjuk egymást
we accept our differences | elfogadjuk a különbözőségeinket
we accept our imperfections | elfogadjuk a tökéletlenségeinket
we accept that we are all learning | elfogadjuk, hogy mindannyian tanulunk
we accept that we make mistakes | elfogadjuk, hogy hibázunk
we accept that we grow together | elfogadjuk, hogy együtt fejlődünk
we accept that we are stronger together | elfogadjuk, hogy együtt erősebbek vagyunk
we accept the challenges ahead | elfogadjuk az előttünk álló kihívásokat
we accept the journey | elfogadjuk az utazást
we accept what comes | elfogadjuk, ami jön
they accept one another | elfogadják egymást
they accept diversity | elfogadják a sokszínűséget
they accept different perspectives | elfogadják a különböző nézőpontokat
they accept change | elfogadják a változást
they accept the unknown | elfogadják az ismeretlent
they accept the challenge | elfogadják a kihívást
they accept their history | elfogadják a történelmüket
they accept their culture | elfogadják a kultúrájukat
they accept who they are | elfogadják, akik
they accept their place in the world | elfogadják a helyüket a világban
it accepts input | elfogadja a bemenetet
it accepts commands | elfogadja a parancsokat
it accepts changes | elfogadja a változtatásokat
it accepts updates | elfogadja a frissítéseket
it accepts new data | elfogadja az új adatokat
it accepts feedback | elfogadja a visszajelzést
it accepts corrections | elfogadja a javításokat
it accepts imperfections | elfogadja a tökéletlenségeket
it accepts limitations | elfogadja a korlátokat
it accepts that it can improve | elfogadja, hogy fejlődhet
this is acceptance | ez az elfogadás
this is what acceptance looks like | így néz ki az elfogadás
this is how we grow | így növünk
this is how we heal | így gyógyulunk
this is how we find peace | így találjuk meg a békét
this is how we become free | így szabadulunk fel
this is how we let go | így engedünk el
this is how we move forward | így lépünk tovább
this is how we find ourselves | így találjuk meg önmagunkat
this is how we become whole | így válunk teljessé
that is the gift of acceptance | az az elfogadás ajándéka
that is the power of letting go | az az elengedés ereje
that is the freedom of being yourself | az az önmagad létének szabadsága
that is the beauty of imperfection | az a tökéletlenség szépsége
that is the strength of vulnerability | az a sebezhetőség ereje
that is the wisdom of knowing | az a tudás bölcsessége
that is the peace of surrender | az a megadás békéje
that is the joy of being alive | az az élet öröme
that is the gift of now | az a most ajándéka
that is the art of acceptance | az az elfogadás művészete
there is freedom in acceptance | szabadság van az elfogadásban
there is peace in letting go | béke van az elengedésben
there is strength in vulnerability | erő van a sebezhetőségben
there is wisdom in failure | bölcsesség van a kudarcban
there is beauty in imperfection | szépség van a tökéletlenségben
there is light in darkness | fény van a sötétségben
there is hope in uncertainty | remény van a bizonytalanságban
there is love in every moment | szeretet van minden pillanatban
there is magic in being alive | varázslat van abban, hogy élünk
I let go of what I cannot control | elengedem, amit nem tudok irányítani
I let go of fear | elengedem a félelmet
I let go of doubt | elengedem a kételyt
I let go of perfection | elengedem a tökéletességet
I let go of expectations | elengedem az elvárásokat
I let go of the past | elengedem a múltat
I let go of worry | elengedem az aggódást
I let go of comparison | elengedem az összehasonlítgatást
I let go of what no longer serves me | elengedem, ami már nem szolgál engem
I let go and trust | elengedek és bízom
you let go of fear | elengeded a félelmet
you let go of what holds you back | elengeded, ami visszatart
you let go of the past | elengeded a múltat
you let go of regret | elengeded a megbánást
you let go of guilt | elengeded a bűntudatot
you let go of perfectionism | elengeded a maximalizmust
you let go of control | elengeded az irányítást
you let go and flow | elengedsz és áramlasz
you let go and trust | elengedsz és bízol
you let go and grow | elengedsz és fejlődsz
he lets go of the past | elengedi a múltat
he lets go of anger | elengedi a haragot
he lets go of resentment | elengedi a neheztelést
he lets go of blame | elengedi a hibáztatást
he lets go of what he cannot change | elengedi, amit nem tud megváltoztatni
he lets go of the outcome | elengedi az eredményt
he lets go of control | elengedi az irányítást
he lets go and moves forward | elenged és továbblép
he lets go and grows | elenged és fejlődik
he lets go and finds peace | elenged és békére lel
she lets go of fear | elengedi a félelmet
she lets go of doubt | elengedi a kételyt
she lets go of the need to please | elengedi a megfelelési kényszert
she lets go of self-criticism | elengedi az önkritikát
she lets go of comparison | elengedi az összehasonlítgatást
she lets go of the past | elengedi a múltat
she lets go of expectations | elengedi az elvárásokat
she lets go and becomes free | elenged és szabaddá válik
she lets go and shines | elenged és ragyog
she lets go and trusts | elenged és bízik
we let go of what no longer serves us | elengedjük, ami már nem szolgál minket
we let go of fear | elengedjük a félelmet
we let go of division | elengedjük a megosztottságot
we let go of judgment | elengedjük az ítélkezést
we let go of the past | elengedjük a múltat
we let go and move forward together | elengedjük és együtt lépünk tovább
we let go and grow together | elengedjük és együtt fejlődünk
we let go and find peace | elengedjük és békére lelünk
we let go and become stronger | elengedjük és erősebbek leszünk
we let go and create space for what matters | elengedjük és teret teremtünk annak, ami számít
they let go of old ways | elengedik a régi módszereket
they let go of outdated beliefs | elengedik az elavult hiedelmeket
they let go of division | elengedik a megosztottságot
they let go of conflict | elengedik a konfliktust
they let go of hate | elengedik a gyűlöletet
they let go of fear | elengedik a félelmet
they let go and embrace change | elengedik és magukévá teszik a változást
they let go and create something new | elengednek és valami újat alkotnak
they let go and build bridges | elengednek és hidakat építenek
they let go and find common ground | elengednek és megtalálják a közös hangot
it lets go of old data | elengedi a régi adatokat
it lets go of outdated processes | elengedi az elavult folyamatokat
it lets go of inefficiency | elengedi a hatástalanságot
it lets go of bugs | elengedi a hibákat
it lets go of errors | elengedi a tévedéseket
it lets go of what is no longer useful | elengedi, ami már nem hasznos
it lets go and optimizes | elenged és optimalizál
it lets go and improves | elenged és javul
it lets go and evolves | elenged és fejlődik
it lets go and becomes better | elenged és jobbá válik
this is letting go | ez az elengedés
this is what freedom feels like | így érződik a szabadság
this is what peace feels like | így érződik a béke
this is what growth looks like | így néz ki a fejlődés
this is what strength looks like | így néz ki az erő
this is what courage looks like | így néz ki a bátorság
this is what wisdom looks like | így néz ki a bölcsesség
this is what love looks like | így néz ki a szeretet
this is what hope looks like | így néz ki a remény
this is what life looks like when you let go | így néz ki az élet, amikor elengedsz
that is the gift of release | az a megszabadulás ajándéka
that is the beauty of surrender | az a megadás szépsége
that is the wisdom of acceptance | az az elfogadás bölcsessége
that is the peace of trusting | az a bizalom békéje
that is the joy of flowing | az az áramlás öröme
that is the freedom of being | az a lét szabadsága
that is the light of letting go | az az elengedés fénye
that is the way forward | az az előre vezető út
there is freedom in letting go | szabadság van az elengedésben
there is peace in surrender | béke van a megadásban
there is strength in release | erő van a megszabadulásban
there is growth in letting go | fejlődés van az elengedésben
there is wisdom in acceptance | bölcsesség van az elfogadásban
there is joy in flowing | öröm van az áramlásban
there is love in trusting | szeretet van a bizalomban
there is life in letting go | élet van az elengedésben
there is magic in release | varázslat van a megszabadulásban
there is everything in letting go | minden benne van az elengedésben
I celebrate every victory | minden győzelmet megünnepelek
I celebrate small wins | a kis sikereket is megünnepelem
I celebrate my progress | megünnepelem a fejlődésemet
I celebrate how far I have come | megünnepelem, milyen messzire jutottam
I celebrate the journey | megünnepelem az utazást
I celebrate the lessons | megünnepelem a tanulságokat
